Name,Location,Contact Number,Email,Specialties,Price Range
DJ Sound & Light,Jaipur,9999999999,djsoundlight@gmail.com,"Bollywood Music, Punjabi, Hip Hop, Electronic Dance Music","Rs. 10,000 - Rs. 50,000"
D J Beats,Jodhpur,8888888888,djbeats@hotmail.com,"Disco, House, Trance, Techno, Drum and Bass","Rs. 15,000 - Rs. 75,000"
Soundz Good,Udaipur,7777777777,soundzgood@yahoo.com,"Live Performance, Light Effects, Sound Mixing","Rs. 12,000 - Rs. 60,000"
Royal DJ,Jaipur,9999888877,royaldj@gmail.com,"Wedding Functions, Corporate Events, Club Parties","Rs. 20,000 - Rs. 1,00,000"
Music Mantra,Jodhpur,7777888899,musicmantra@gmail.com,"Fusion Music, Retro, Sufi, Folk, Indi-Pop","Rs. 8,000 - Rs. 40,000"
DJ Blast,Ajmer,8888999900,djblast@hotmail.com,"Club Mix, Commercial, House, Electro, Trance, Retro","Rs. 12,000 - Rs. 50,000"
Sound of Rajasthan,Jaipur,9999777766,soundofrajasthan@gmail.com,"Rajasthani Folk Music, Live Singing, Special Effects","Rs. 15,000 - Rs. 75,000"
DJ Groove,Udaipur,7777666655,djgroove@yahoo.com,"EDM, Pop, Hip Hop, Bollywood Remixes","Rs. 18,000 - Rs. 90,000"
Beat Drop,Jodhpur,8888777766,beatdrop@hotmail.com,"House, Trance, Dubstep, Techno, Progressive","Rs. 25,000 - Rs. 1,25,000"
Star DJ,Ajmer,9999888855,stardj@gmail.com,"International Music, Light and Sound Effects","Rs. 30,000 - Rs. 1,50,000"
High Voltage Sound,Jaipur,7777666644,highvoltagesound@gmail.com,"Corporate Events, Weddings, Club Nights","Rs. 20,000 - Rs. 1,00,000"
DJ Spin,Udaipur,8888999911,djspin@yahoo.com,"Bollywood, House, Techno, Commercial, Pop","Rs. 15,000 - Rs. 75,000"
Rock the Beat,Jodhpur,7777888877,rockthebeat@hotmail.com,"Electronic, Dubstep, House, Trance, Techno","Rs. 20,000 - Rs. 1,00,000"
Bass Blast,Ajmer,9999777744,bassblast@gmail.com,"Hip Hop, Pop, Commercial, Reggaeton, R&B","Rs. 12,000 - Rs. 60,000"
DJ Mix,Jaipur,8888777788,djmix@gmail.com,"Bollywood Remixes, Punjabi, EDM, Trance, Retro","Rs. 10,000 - Rs. 50,000"
