user_id,Age,Gender,City,State,Zip Code,Education_Level,Occupation,Income_Level,Event_Attendance_History,TicketPurchaseHistory,Interests,PreferredEventTypes,Preferred_Event_Venues,Preferred_Ticket_Price_Range
2,35,Female,Jodhpur,Rajasthan,342001,Master's Degree,Doctor,"$100,000 - $150,000","Art Exhibition (2019), Theatre Play (2021)","Art Exhibition (2019), Theatre Play (2021)","Art, Theatre","Art Exhibitions, Theatre Plays","Museums, Theatres",$50 - $150
10,21,Female,Jodhpur,Rajasthan,342001,Master's Degree,Doctor,"$100,000 - $150,000","Art Exhibition (2019), Theatre Play (2021)","Art Exhibition (2019), Theatre Play (2021)","Art, Theatre","Art Exhibitions, Theatre Plays","Museums, Theatres",$50 - $150
8,39,Female,Sikar,Rajasthan,332001,Doctorate Degree,Professor,"$150,000 - $200,000","Theatre Play (2019), Conference (2020), Literature Festival (",,,,,
3,42,Male,Udaipur,Rajasthan,313001,High School Diploma,Sales Representative,"$25,000 - $50,000","Tennis Tournament (2018), Skiing Trip (2020)","Tennis Tournament (2018), Skiing Trip (2020)","Sports, Travel","Sporting Events, Adventure Activities","Indoor Arenas, Ski Resorts",$50 - $200
6,28,Female,Bikaner,Rajasthan,334001,Bachelor's Degree,Chef,"$25,000 - $50,000","Art Exhibition (2021), Food Festival (2022)","Art Exhibition (2021), Food Festival (2022)","Art, Food","Art Exhibitions, Food Festivals","Galleries, Restaurants",$50 - $150
7,23,Male,Alwar,Rajasthan,301001,High School Diploma,Web Designer,"$25,000 - $50,000",Football Match (2022),Football Match (2022),"Sports, Technology","Sporting Events, Tech Conferences","Stadiums, Convention Centers",$30 - $100
11,41,Male,Udaipur,Rajasthan,313001,High School Diploma,Sales Representative,"$25,000 - $50,000","Tennis Tournament (2018), Skiing Trip (2020)","Tennis Tournament (2018), Skiing Trip (2020)","Sports, Travel","Sporting Events, Adventure Activities","Indoor Arenas, Ski Resorts",$50 - $200
14,28,Female,Bikaner,Rajasthan,334001,Bachelor's Degree,Chef,"$25,000 - $50,000","Art Exhibition (2021), Food Festival (2022)","Art Exhibition (2021), Food Festival (2022)","Art, Food","Art Exhibitions, Food Festivals","Galleries, Restaurants",$50 - $150
15,23,Male,Alwar,Rajasthan,301001,High School Diploma,Web Designer,"$25,000 - $50,000",Football Match (2022),Football Match (2022),"Sports, Technology","Sporting Events, Tech Conferences",,
1,25,Male,Jaipur,Rajasthan,302004,Bachelor's Degree,Software Developer,"$50,000 - $75,000","Music Festival (2020), Football Match (2021)","Music Festival (2020), Football Match (2021)","Music, Sports","Music Festivals, Sporting Events","Outdoor Venues, Stadiums",$20 - $100
5,31,Male,Ajmer,Rajasthan,305001,Master's Degree,Writer,"$50,000 - $75,000","Book Club Meeting (2019), Film Festival (2020)","Book Club Meeting (2019), Film Festival (2020)","Movies, Literature","Book Clubs, Film Festivals","Theatres, Cinemas",$20 - $50
9,25,Male,Jaipur,Rajasthan,302004,Bachelor's Degree,Software Developer,"$50,000 - $75,000","Music Festival (2020), Football Match (2021)","Music Festival (2020), Football Match (2021)","Music, Sports","Music Festivals, Sporting Events","Outdoor Venues, Stadiums",$20 - $100
13,23,Male,Ajmer,Rajasthan,305001,Master's Degree,Writer,"$50,000 - $75,000","Book Club Meeting (2019), Film Festival (2020)","Book Club Meeting (2019), Film Festival (2020)","Movies, Literature","Book Clubs, Film Festivals","Theatres, Cinemas",$20 - $50
4,29,Female,Kota,Rajasthan,324001,Bachelor's Degree,Marketing Manager,"$75,000 - $100,000","Music Festival (2019), Food Festival (2021)","Music Festival (2019), Food Festival (2021)","Music, Food","Music Festivals, Food Festivals","Parks, Exhibition Halls",$30 - $80
12,29,Female,Kota,Rajasthan,324001,Bachelor's Degree,Marketing Manager,"$75,000 - $100,000","Music Festival (2019), Food Festival (2021)","Music Festival (2019), Food Festival (2021)","Music, Food","Music Festivals, Food Festivals","Parks, Exhibition Halls",$30 - $80
